Задание: Расчёт значения ряда в точке. ui(x) = (-1)^i*2^(2i)*(i!)^2*x^(2i+1)/(2i+1)!
Автор: Николаев Всеволод Юрьевич    Группа: 2302       Версия: 1
Дата начала: 12.10.2022             Дата окончания:
eps = 0.00000000000000100000
x = 0.99899999999999999911
===========================================================
|  i  |            u            |            s            |
| 101 | +0.07220792717817467454 | +0.65901481311915410810 |
| 102 | -0.07170859050942163249 | +0.58730622260973253113 |
| 103 | +0.07121614628071527842 | +0.65852236889044779566 |
| 104 | -0.07073043358495569033 | +0.58779193530549211921 |
| 105 | +0.07025129682884989624 | +0.65804323213434201545 |
| 106 | -0.06977858550788006153 | +0.58826464662646194004 |
| 107 | +0.06931215399284205991 | +0.65757680061930401383 |
| 108 | -0.06885186132725683306 | +0.58872493929204716689 |
| 109 | +0.06839757103500529456 | +0.65712251032705248921 |
| 110 | -0.06794915093758163716 | +0.58917335938947079654 |
| 111 | +0.06750647298040104993 | +0.65667983236987181872 |
| 112 | -0.06706941306763559985 | +0.58961041930223623275 |
| 113 | +0.06663785090508711484 | +0.65624827020732334759 |
| 114 | -0.06621166985063829669 | +0.59003660035668503703 |
| 115 | +0.06579075677185312887 | +0.65582735712853812426 |
| 116 | -0.06537500191032565022 | +0.59045235521821248792 |
| 117 | +0.06496429875240174179 | +0.65541665397061421583 |
| 118 | -0.06455854390592252745 | +0.59085811006469168838 |
| 119 | +0.06415763698266026271 | +0.65501574704735199273 |
| 120 | -0.06376148048613806962 | +0.59125426656121393698 |
| 121 | +0.06336997970454401330 | +0.65462424626575799191 |
| 122 | -0.06298304260846807057 | +0.59164120365728989359 |
| 123 | +0.06260057975320683366 | +0.65424178341049676888 |
| 124 | -0.06222250418539645306 | +0.59201927922510033664 |
| 125 | +0.06184873135374861081 | +0.65386801057884891275 |
| 126 | -0.06147917902367774912 | +0.59238883155517119139 |
| 127 | +0.06111376719562044285 | +0.65350259875079164118 |
| 128 | -0.06075241802685915626 | +0.59275018072393248492 |
| 129 | +0.06039505575667396264 | +0.65314523648060640593 |
| 130 | -0.06004160663465569342 | +0.59310362984595066393 |
| 131 | +0.05969199885202369077 | +0.65279562869797436164 |
| 132 | -0.05934616247580017795 | +0.59344946622217420451 |
| 133 | +0.05900402938570157435 | +0.65245349560787579968 |
| 134 | -0.05866553321361514528 | +0.59378796239426068215 |
| 135 | +0.05833060928553629454 | +0.65211857167979703220 |
| 136 | -0.05799919456584913535 | +0.59411937711394791073 |
| 137 | +0.05767122760383906754 | +0.65179060471778693664 |
| 138 | -0.05734664848233223672 | +0.59444395623545465135 |
| 139 | +0.05702539876836257293 | +0.65146935500381719653 |
| 140 | -0.05670742146577219950 | +0.59476193353804496233 |
| 141 | +0.05639266096965621367 | +0.65115459450770118988 |
| 142 | -0.05608106302256735121 | +0.59507353148513386643 |
| 143 | +0.05577257467240072375 | +0.65084610615753457630 |
| 144 | -0.05546714423188275900 | +0.59537896192565176179 |
| 145 | +0.05516472123959241525 | +0.65054368316524413540 |
| 146 | -0.05486525642244673151 | +0.59567842674279736226 |
| 147 | +0.05456870165958570273 | +0.65024712840238307887 |
| 148 | -0.05427500994759542480 | +0.59597211845478770265 |
| 149 | +0.05398413536701082704 | +0.64995625382179855745 |
| 150 | -0.05369603305004289756 | +0.59626022077175566682 |
| 151 | +0.05341065914947760312 | +0.64967087992123329077 |
| 152 | -0.05312797080869641891 | +0.59654290911253682328 |
| 153 | +0.05284792613277099205 | +0.64939083524530782920 |
| 154 | -0.05257048416058653084 | +0.59682035108472131224 |
| 155 | +0.05229560483795098191 | +0.64911595592267223864 |
| 156 | -0.05202324899164879196 | +0.59709270693102345362 |
| 157 | +0.05175337830440037562 | +0.64884608523542386394 |
| 158 | -0.05148595529068997895 | +0.59736012994473386417 |
| 159 | +0.05122094327342645997 | +0.64858107321816027557 |
| 160 | -0.05095830636140337433 | +0.59762276685675685961 |
| 161 | +0.05069800942752591272 | +0.64832077628428275151 |
| 162 | -0.05044001808777416607 | +0.59788075819650854381 |
| 163 | +0.05018429868087327661 | +0.64806505687738180654 |
| 164 | -0.04993081824864259444 | +0.59813423862873915660 |
| 165 | +0.04967954451699710394 | +0.64781378314573623278 |
| 166 | -0.04943044587757557812 | +0.59838333726816061997 |
| 167 | +0.04918349136997121618 | +0.64756682863813186390 |
| 168 | -0.04893865066454138046 | +0.59862817797359046956 |
| 169 | +0.04869589404577435304 | +0.64732407201936481567 |
| 170 | -0.04845519239619167084 | +0.59886887962317314482 |
| 171 | +0.04821651718076590265 | +0.64708539680393906135 |
| 172 | -0.04797984043183432107 | +0.59910555637210471946 |
| 173 | +0.04774513473448989409 | +0.64685069110659465519 |
| 174 | -0.04751237321243186040 | +0.59933831789416280866 |
| 175 | +0.04728152951425877715 | +0.64661984740842159969 |
| 176 | -0.04705257780018781699 | +0.59956726960823381045 |
| 177 | +0.04682549272918460487 | +0.64639276233741838062 |
| 178 | -0.04660024944648877288 | +0.59979251289092960775 |
| 179 | +0.04637682357152075191 | +0.64616933646245033884 |
| 180 | -0.04615519118615615812 | +0.60001414527629415296 |
| 181 | +0.04593532882335461115 | +0.64594947409964875717 |
| 182 | -0.04571721345613028592 | +0.60023226064351842268 |
| 183 | +0.04550082248685221459 | +0.64573308313037058870 |
| 184 | -0.04528613373686257715 | +0.60044694939350806706 |
| 185 | +0.04507312543640192709 | +0.64552007482991002885 |
| 186 | -0.04486177621483069394 | +0.60065829861507935572 |
| 187 | +0.04465206509113656130 | +0.64531036370621586151 |
| 188 | -0.04444397146471799898 | +0.60086639224149784866 |
| 189 | +0.04423747510643440128 | +0.64510386734793223606 |
| 190 | -0.04403255614991379713 | +0.60107131119801848751 |
| 191 | +0.04382919508310930551 | +0.64490050628112782771 |
| 192 | -0.04362737274009603761 | +0.60127313354103173459 |
| 193 | +0.04342707029310030609 | +0.64470020383413206844 |
| 194 | -0.04322826924475343252 | +0.60147193458937864285 |
| 195 | +0.04303095142056265199 | +0.64450288600994132260 |
