Задание: Расчёт значения ряда в точке. ui(x) = (-1)^i*2^(2i)*(i!)^2*x^(2i+1)/(2i+1)!
Автор: Николаев Всеволод Юрьевич    Группа: 2302       Версия: 1
Дата начала: 12.10.2022             Дата окончания:
eps = 0.00000000000000100000
x = 0.99899999999999999911
===========================================================
|  i  |            u            |            s            |
| 423 | +0.01850719690174875559 | +0.63227542346690279729 |
| 424 | -0.01844839440237339839 | +0.61382702906452935032 |
| 425 | +0.01838982994174872751 | +0.63221685900627810906 |
| 426 | -0.01833150219852044266 | +0.61388535680775768721 |
| 427 | +0.01827340986146894913 | +0.63215876666922665716 |
| 428 | -0.01821555162940715483 | +0.61394321503981952315 |
| 429 | +0.01815792621107955099 | +0.63210114125089911230 |
| 430 | -0.01810053232506254883 | +0.61400060892583652183 |
| 431 | +0.01804336869966606874 | +0.63204397762550257323 |
| 432 | -0.01798643407283632284 | +0.61405754355266628508 |
| 433 | +0.01792972719205983972 | +0.63198727074472615950 |
| 434 | -0.01787324681426865139 | +0.61411402393045755321 |
| 435 | +0.01781699170574666674 | +0.63193101563620424077 |
| 436 | -0.01776096064203718308 | +0.61417005499416710279 |
| 437 | +0.01770515240785153557 | +0.63187520740201863489 |
| 438 | -0.01764956579697888467 | +0.61422564160503978492 |
| 439 | +0.01759419961219707562 | +0.63181984121723688830 |
| 440 | -0.01753905266518461167 | +0.61428078855205225928 |
| 441 | +0.01748412377643368890 | +0.63176491232848597246 |
| 442 | -0.01742941177516427534 | +0.61433550055332164508 |
| 443 | +0.01737491549923925183 | +0.63171041605256084139 |
| 444 | -0.01732063379508056236 | +0.61438978225748031026 |
| 445 | +0.01726656551758637761 | +0.63165634777506673991 |
| 446 | -0.01721270953004925414 | +0.61444363824501746496 |
| 447 | +0.01715906470407528236 | +0.63160270294909270916 |
| 448 | -0.01710562991950420261 | +0.61449707302958855859 |
| 449 | +0.01705240406433045780 | +0.63154947709391906496 |
| 450 | -0.01699938603462521070 | +0.61455009105929381263 |
| 451 | +0.01694657473445926321 | +0.63149666579375307585 |
| 452 | -0.01689396907582691246 | +0.61460269671792611135 |
| 453 | +0.01684156797857069496 | +0.63144426469649683753 |
| 454 | -0.01678937037030701906 | +0.61465489432618980459 |
| 455 | +0.01673737518635268900 | +0.63139226951254245890 |
| 456 | -0.01668558136965225466 | +0.61470668814289020077 |
| 457 | +0.01663398787070626342 | +0.63134067601359644684 |
| 458 | -0.01658259364750031342 | +0.61475808236609608137 |
| 459 | +0.01653139766543494996 | +0.63128948003153106949 |
| 460 | -0.01648039889725636670 | +0.61480908113427468198 |
| 461 | +0.01642959632298793965 | +0.63123867745726258693 |
| 462 | -0.01637898892986251395 | +0.61485968852740002788 |
| 463 | +0.01632857571225550947 | +0.63118826423965557204 |
| 464 | -0.01627835567161878619 | +0.61490990856803673381 |
| 465 | +0.01622832781641525557 | +0.63113823638445198938 |
| 466 | -0.01617849116205426901 | +0.61495974522239771343 |
| 467 | +0.01612884473082773149 | +0.63108858995322547614 |
| 468 | -0.01607938755184694368 | +0.61500920240137857409 |
| 469 | +0.01603011866098018323 | +0.63103932106235871569 |
| 470 | -0.01598103710079096587 | +0.61505828396156769777 |
| 471 | +0.01593214192047704217 | +0.63099042588204479198 |
| 472 | -0.01588343217581005690 | +0.61510699370623478366 |
| 473 | +0.01583490692907591271 | +0.63094190063531074841 |
| 474 | -0.01578656524901579303 | +0.61515533538629496579 |
| 475 | +0.01573840621076785448 | +0.63089374159706279599 |
| 476 | -0.01569042889580957167 | +0.61520331270125327983 |
| 477 | +0.01564263239190073415 | +0.63084594509315405908 |
| 478 | -0.01559501579302707483 | +0.61525092930012703629 |
| 479 | +0.01554757819934452813 | +0.63079850749947152799 |
| 480 | -0.01550031871712411781 | +0.61529818878234743273 |
| 481 | +0.01545323645869744328 | +0.63075142524104488295 |
| 482 | -0.01540633054240278174 | +0.61534509469864206999 |
| 483 | +0.01535960009253178535 | +0.63070469479117385880 |
| 484 | -0.01531304423927675601 | +0.61539165055189715137 |
| 485 | +0.01526666211867851695 | +0.63065831267057570475 |
| 486 | -0.01522045287257485155 | +0.61543785979800080810 |
| 487 | +0.01517441564854949722 | +0.63061227544655029664 |
| 488 | -0.01512854959988172050 | +0.61548372584666855012 |
| 489 | +0.01508285388549641774 | +0.63056657973216501123 |
| 490 | -0.01503732766991477607 | +0.61552925206225028720 |
| 491 | +0.01499197012320546696 | +0.63052122218545569865 |
| 492 | -0.01494678042093637409 | +0.61557444176451936446 |
| 493 | +0.01490175774412682598 | +0.63047619950864619565 |
| 494 | -0.01485690127920037337 | +0.61561929822944583268 |
| 495 | +0.01481221021793805055 | +0.63043150844738393701 |
| 496 | -0.01476768375743215712 | +0.61566382468995173305 |
| 497 | +0.01472332110004052723 | +0.63038714578999222038 |
| 498 | -0.01467912145334128449 | +0.61570802433665094977 |
| 499 | +0.01463508403008809654 | +0.63034310836673901335 |
| 500 | -0.01459120804816589276 | +0.61575190031857307549 |
| 501 | +0.01454749273054706249 | +0.63029939304912008247 |
| 502 | -0.01450393730524811298 | +0.61579545574387195561 |
| 503 | +0.01446054100528678873 | +0.63025599674915877557 |
| 504 | -0.01441730306863964542 | +0.61583869368051913362 |
| 505 | +0.01437422273820007645 | +0.63021291641871923783 |
| 506 | -0.01433129926173677508 | +0.61588161715698241938 |
| 507 | +0.01428853189185263182 | +0.63017014904883505988 |
| 508 | -0.01424591988594406909 | +0.61592422916289102375 |
| 509 | +0.01420346250616080601 | +0.63012769166905180374 |
| 510 | -0.01416115901936603264 | +0.61596653264968581620 |
| 511 | +0.01411900869709701092 | +0.63008554134678285141 |
| 512 | -0.01407701081552606773 | +0.61600853053125681491 |
| 513 | +0.01403516465542202149 | +0.63004369518667879824 |
| 514 | -0.01399346950211198190 | +0.61605022568456679899 |
| 515 | +0.01395192464544356241 | +0.63000215033001039089 |
| 516 | -0.01391052937974746745 | +0.61609162095026293038 |
| 517 | +0.01386928300380049252 | +0.62996090395406345586 |
| 518 | -0.01382818482078886774 | +0.61613271913327460894 |
| 519 | +0.01378723413827200213 | +0.62991995327154659545 |
| 520 | -0.01374643026814660433 | +0.61617352300340000326 |
| 521 | +0.01370577252661114506 | +0.62987929553001109628 |
| 522 | -0.01366526023413070813 | +0.61621403529588036907 |
| 523 | +0.01362489271540218150 | +0.62983892801128260608 |
| 524 | -0.01358466929931980913 | +0.61625425871196282124 |
| 525 | +0.01354458931894109847 | +0.62979884803090391276 |
| 526 | -0.01350465211145305579 | +0.61629419591945089341 |
| 527 | +0.01346485701813878409 | +0.62975905293758971393 |
| 528 | -0.01342520338434439846 | +0.61633384955324532761 |
| 529 | +0.01338569055944628487 | +0.62971954011269160034 |
| 530 | -0.01334631789681869039 | +0.61637322221587287352 |
| 531 | +0.01330708475380162729 | +0.62968030696967447479 |
| 532 | -0.01326799049166910854 | +0.61641231647800531768 |
| 533 | +0.01322903447559769380 | +0.62964135095360296290 |
| 534 | -0.01319021607463534938 | +0.61645113487896763260 |
| 535 | +0.01315153466167062746 | +0.62960266954063826006 |
| 536 | -0.01311298961340213141 | +0.61648967992723613385 |
| 537 | +0.01307458031030831087 | +0.62956426023754441523 |
| 538 | -0.01303630613661752383 | +0.61652795410092686712 |
| 539 | +0.01299816648027841970 | +0.62952612058120527294 |
| 540 | -0.01296016073293060518 | +0.61656595984827466950 |
| 541 | +0.01292228828987559107 | +0.62948824813815029700 |
| 542 | -0.01288454855004804098 | +0.61660369958810223867 |
| 543 | +0.01284694091598728195 | +0.62945064050408949807 |
| 544 | -0.01280946479380910656 | +0.61664117571028043141 |
| 545 | +0.01277211959317784730 | +0.62941329530345824228 |
| 546 | -0.01273490472727872164 | +0.61667839057617956922 |
| 547 | +0.01269781961279043900 | +0.62937621018897005332 |
| 548 | -0.01266086366985809397 | +0.61671534651911197322 |
| 549 | +0.01262403632206629371 | +0.62933938284117829642 |
| 550 | -0.01258733699641256983 | +0.61675204584476572833 |
| 551 | +0.01255076512328103140 | +0.62930281096804674412 |
| 552 | -0.01251432013641627476 | +0.61678849083163045375 |
| 553 | +0.01247800147289754823 | +0.62926649230452802453 |
| 554 | -0.01244180857311315974 | +0.61682468373141485785 |
| 555 | +0.01240574088073513256 | +0.62923042461214995225 |
| 556 | -0.01236979784269410035 | +0.61686062676945585537 |
| 557 | +0.01233397890915443815 | +0.62919460567861029698 |
| 558 | -0.01229828353348964495 | +0.61689632214512069019 |
| 559 | +0.01226271117225793961 | +0.62915903331737865756 |
| 560 | -0.01222726128517810477 | +0.61693177203220050941 |
| 561 | +0.01219193333510554776 | +0.62912370536730610748 |
| 562 | -0.01215672678800859378 | +0.61696697857929749809 |
| 563 | +0.01212164111294500128 | +0.62908861969224250110 |
| 564 | -0.01208667578203869754 | +0.61700194391020379836 |
| 565 | +0.01205183027045673462 | +0.62905377418066055206 |
| 566 | -0.01201710405638645868 | +0.61703667012427410032 |
| 567 | +0.01198249662101288915 | +0.62901916674528701723 |
| 568 | -0.01194800744849632348 | +0.61707115929679068334 |
| 569 | +0.01191363602595013269 | +0.62898479532274076398 |
| 570 | -0.01187938184341877715 | +0.61710541347932201806 |
| 571 | +0.01184524439385601507 | +0.62895065787317805395 |
| 572 | -0.01181122317310332424 | +0.61713943470007470715 |
| 573 | +0.01177731767986851807 | +0.62891675237994326686 |
| 574 | -0.01174352741570455251 | +0.61717322496423876466 |
| 575 | +0.01170985188498854801 | +0.62888307684922728491 |
| 576 | -0.01167629059490097806 | +0.61720678625432634501 |
| 577 | +0.01164284305540506589 | +0.62884962930973142825 |
| 578 | -0.01160950877922637021 | +0.61724012053050503201 |
| 579 | +0.01157628728183255316 | +0.62881640781233760773 |
| 580 | -0.01154317808141332516 | +0.61727322973092424441 |
| 581 | +0.01151018069886059793 | +0.62878341042978480591 |
| 582 | -0.01147729465774878325 | +0.61730611577203597928 |
| 583 | +0.01144451948431530162 | +0.62875063525635133121 |
| 584 | -0.01141185470744125047 | +0.61733878054891011544 |
| 585 | +0.01137929985863224761 | +0.62871808040754240121 |
| 586 | -0.01134685447199945858 | +0.61737122593554294436 |
| 587 | +0.01131451808424078359 | +0.62868574401978372101 |
| 588 | -0.01128229023462222480 | +0.61740345378516148234 |
| 589 | +0.01125017046495940636 | +0.62865362425012083492 |
| 590 | -0.01121815831959927477 | +0.61743546593052156535 |
| 591 | +0.01118625334540195373 | +0.62862171927592347398 |
| 592 | -0.01115445509172276715 | +0.61746726418420072591 |
| 593 | +0.01112276311039441835 | +0.62859002729459512171 |
| 594 | -0.01109117695570932885 | +0.61749885033888574082 |
| 595 | +0.01105969618440213673 | +0.62855854652328790877 |
| 596 | -0.01102832035563234767 | +0.61753022616765551600 |
| 597 | +0.01099704903096713690 | +0.62852727519862261474 |
| 598 | -0.01096588177436431423 | +0.61756139342425830918 |
| 599 | +0.01093481815215542607 | +0.62849621157641377689 |
| 600 | -0.01090385773302900846 | +0.61759235384338473374 |
| 601 | +0.01087300008801400479 | +0.62846535393139868475 |
| 602 | -0.01084224479046330160 | +0.61762310914093543346 |
| 603 | +0.01081159141603743254 | +0.62843470055697281396 |
| 604 | -0.01078103954268840904 | +0.61765366101428442747 |
| 605 | +0.01075058875064369666 | +0.62840424976492814668 |
| 606 | -0.01072023862239034238 | +0.61768401114253779216 |
| 607 | +0.01068998874265921807 | +0.62837399988519704319 |
| 608 | -0.01065983869840942191 | +0.61771416118678756924 |
| 609 | +0.01062978807881280463 | +0.62834394926560033223 |
| 610 | -0.01059983647523862760 | +0.61774411279036167688 |
| 611 | +0.01056998348123836494 | +0.62831409627160006437 |
| 612 | -0.01054022869253062183 | +0.61777386757906949111 |
| 613 | +0.01051057170698619161 | +0.62828443928605570701 |
| 614 | -0.01048101212461324643 | +0.61780342716144243109 |
| 615 | +0.01045154954754264065 | +0.62825497670898511338 |
| 616 | -0.01042218358001335311 | +0.61783279312897176894 |
| 617 | +0.01039291382835804550 | +0.62822570695732982138 |
| 618 | -0.01036373990098874744 | +0.61786196705634111037 |
| 619 | +0.01033466140838267336 | +0.62819662846472379414 |
| 620 | -0.01030567796306813312 | +0.61789095050165565581 |
| 621 | +0.01027678917961059694 | +0.62816773968126626837 |
| 622 | -0.01024799467459885059 | +0.61791974500666746462 |
| 623 | +0.01021929406663128065 | +0.62813903907329871057 |
| 624 | -0.01019068697630227602 | +0.61794835209699638945 |
| 625 | +0.01016217302618874045 | +0.62811052512318510388 |
| 626 | -0.01013375184083671957 | +0.61797677328234834615 |
| 627 | +0.01010542304674814408 | +0.62808219632909645380 |
| 628 | -0.01007718627236767195 | +0.61800501005672880961 |
| 629 | +0.01004904114806966405 | +0.62805405120479851355 |
| 630 | -0.01002098730614523966 | +0.61803306389865331205 |
| 631 | +0.00999302438078947079 | +0.62802608827944272907 |
| 632 | -0.00996515200808865444 | +0.61806093627135405555 |
| 633 | +0.00993736982600770639 | +0.62799830609736173592 |
| 634 | -0.00990967747437766777 | +0.61808862862298408203 |
| 635 | +0.00988207459488329304 | +0.62797070321786740976 |
| 636 | -0.00985456083105075778 | +0.61811614238681666933 |
| 637 | +0.00982713582823546705 | +0.62794327821505213638 |
| 638 | -0.00979979923360995049 | +0.61814347898144217375 |
| 639 | +0.00977255069615187710 | +0.62791602967759407861 |
| 640 | -0.00974538986663215506 | +0.61817063981096187497 |
| 641 | +0.00971831639760313039 | +0.62788895620856499669 |
| 642 | -0.00969132994338689144 | +0.61819762626517815729 |
| 643 | +0.00966443016006365667 | +0.62786205642524184345 |
| 644 | -0.00963761670546026822 | +0.61822443971978158217 |
| 645 | +0.00961088923913877222 | +0.62783532895892035786 |
| 646 | -0.00958424742238509451 | +0.61825108153653529630 |
| 647 | +0.00955769091819781008 | +0.62780877245473309944 |
| 648 | -0.00953121939127700261 | +0.61827755306345610897 |
| 649 | +0.00950483250801321261 | +0.62778238557146937016 |
| 650 | -0.00947852993647647739 | +0.61830385563499290491 |
| 651 | +0.00945231134640545610 | +0.62775616698139835581 |
| 652 | -0.00942617640919665191 | +0.61832999057220172645 |
| 653 | +0.00940012479789370525 | +0.62773011537009537619 |
| 654 | -0.00937415618717679124 | +0.61835595918291863526 |
| 655 | +0.00934827025335208811 | +0.62770422943627068868 |
| 656 | -0.00932246667434133078 | +0.61838176276192935443 |
| 657 | +0.00929674512967146316 | +0.62767850789160084535 |
| 658 | -0.00927110530046435476 | +0.61840740259113646804 |
| 659 | +0.00924554686942660915 | +0.62765294946056304770 |
| 660 | -0.00922006952083945230 | +0.61843287993972362315 |
| 661 | +0.00919467294054869717 | +0.62762755288027227696 |
| 662 | -0.00916935681595479508 | +0.61845819606431751136 |
| 663 | +0.00914412083600296167 | +0.62760231690032042273 |
| 664 | -0.00911896469117338092 | +0.61848335220914707477 |
| 665 | +0.00909388807347148546 | +0.62757724028261852034 |
| 666 | -0.00906889067641831505 | +0.61850834960620015845 |
| 667 | +0.00904397219504095989 | +0.62755232180124109753 |
| 668 | -0.00901913232586305617 | +0.61853318947537805350 |
| 669 | +0.00899437076689538033 | +0.62752756024227340781 |
| 670 | -0.00896968721762650759 | +0.61855787302464693145 |
| 671 | +0.00894508137901353639 | +0.62750295440366044009 |
| 672 | -0.00892055295347289959 | +0.61858240145018750233 |
| 673 | +0.00889610164487123628 | +0.62747850309505870392 |
| 674 | -0.00887172715851633660 | +0.61860677593654234130 |
| 675 | +0.00884742920114816277 | +0.62745420513769045723 |
| 676 | -0.00882320748092993434 | +0.61863099765676055064 |
| 677 | +0.00879906170743928462 | +0.62743005936419982138 |
| 678 | -0.00877499159165948291 | +0.61865506777254031245 |
| 679 | +0.00875099684597072623 | +0.62740606461851100573 |
| 680 | -0.00872707718414150735 | +0.61867898743436944287 |
| 681 | +0.00870323232132002612 | +0.62738221975568941868 |
| 682 | -0.00867946197402569460 | +0.61870275778166372582 |
| 683 | +0.00865576586014068713 | +0.62735852364180444418 |
| 684 | -0.00863214369890156520 | +0.61872637994290291541 |
| 685 | +0.00860859521089096281 | +0.62733497515379388343 |
| 686 | -0.00858512011802933274 | +0.61874985503576451773 |
| 687 | +0.00856171814356676900 | +0.62731157317933128326 |
| 688 | -0.00853838901207487275 | +0.61877318416725646255 |
| 689 | +0.00851513244943868930 | +0.62728831661669515185 |
| 690 | -0.00849194818284871450 | +0.61879636843384644429 |
| 691 | +0.00846883594079294449 | +0.62726520437463939572 |
| 692 | -0.00844579545304900009 | +0.61881940892159037482 |
| 693 | +0.00842282645067630661 | +0.62724223537226664327 |
| 694 | -0.00839992866600832409 | +0.61884230670625828274 |
| 695 | +0.00837710183264485549 | +0.62721940853890312262 |
| 696 | -0.00835434568544438788 | +0.61886506285345876943 |
| 697 | +0.00833165996051651522 | +0.62719672281397531588 |
| 698 | -0.00830904439521440094 | +0.61888767841876091147 |
| 699 | +0.00828649872812730129 | +0.62717417714688816766 |
| 700 | -0.00826402269907315634 | +0.61891015444781505295 |
| 701 | +0.00824161604909121569 | +0.62715177049690629119 |
| 702 | -0.00821927852043473524 | +0.61893249197647159932 |
| 703 | +0.00819700985656372436 | +0.62712950183303528551 |
| 704 | -0.00817480980213773807 | +0.61895469203089759080 |
| 705 | +0.00815267810300874217 | +0.62710737013390638328 |
| 706 | -0.00813061450621400950 | +0.61897675562769238766 |
| 707 | +0.00810861875996908392 | +0.62708537438766143168 |
| 708 | -0.00808669061366079113 | +0.61899868377400069086 |
| 709 | +0.00806482981784029627 | +0.62706351359184098193 |
| 710 | -0.00804303612421622752 | +0.61902047746762478564 |
| 711 | +0.00802130928564782908 | +0.62704178675327260084 |
| 712 | -0.00799964905613818368 | +0.61904213769713445359 |
| 713 | +0.00797805519082747314 | +0.62702019288796195795 |
| 714 | -0.00795652744598629100 | +0.61906366544197566348 |
| 715 | +0.00793506557900901244 | +0.62699873102098468980 |
| 716 | -0.00791366934840719884 | +0.61908506167257748576 |
| 717 | +0.00789233851380305440 | +0.62697740018638059567 |
| 718 | -0.00787107283592294177 | +0.61910632735045767472 |
| 719 | +0.00784987207659092884 | +0.62695619942704861050 |
| 720 | -0.00782873599872239458 | +0.61912746342832625235 |
| 721 | +0.00780766436631767299 | +0.62693512779464388718 |
| 722 | -0.00778665694445574569 | +0.61914847085018809292 |
| 723 | +0.00776571349928798470 | +0.62691418434947610017 |
| 724 | -0.00774483379803193178 | +0.61916935055144417532 |
| 725 | +0.00772401760896513235 | +0.62689336816040930334 |
| 726 | -0.00770326470141900494 | +0.61919010345899028191 |
| 727 | +0.00768257484577276016 | +0.62687267830476300912 |
| 728 | -0.00766194781344736297 | +0.61921073049131569732 |
| 729 | +0.00764138337689953141 | +0.62685211386821526602 |
| 730 | -0.00762088130961579256 | +0.61923123255859946479 |
| 731 | +0.00760044138610656544 | +0.62683167394470606926 |
| 732 | -0.00758006338190029411 | +0.61925161056280575433 |
| 733 | +0.00755974707353762338 | +0.62681135763634332481 |
| 734 | -0.00753949223856561265 | +0.61927186539777767660 |
| 735 | +0.00751929865553199218 | +0.62679116405330970174 |
| 736 | -0.00749916610397946201 | +0.61929199794933020851 |
| 737 | +0.00747909436444002540 | +0.62677109231377026166 |
| 738 | -0.00745908321842937098 | +0.61931200909534089849 |
| 739 | +0.00743913244844128605 | +0.62675114154378219755 |
| 740 | -0.00741924183794211416 | +0.61933189970584012762 |
| 741 | +0.00739941117136525429 | +0.62673131087720534982 |
| 742 | -0.00737964023410568864 | +0.61935167064309970542 |
| 743 | +0.00735992881251456166 | +0.62671159945561427662 |
| 744 | -0.00734027669389378766 | +0.61937132276172046641 |
| 745 | +0.00732068366649069827 | +0.62669200642821121239 |
| 746 | -0.00730114951949273165 | +0.61939085690871853451 |
| 747 | +0.00728167404302215108 | +0.62667253095174069166 |
| 748 | -0.00726225702813081218 | +0.61941027392360992199 |
| 749 | +0.00724289826679495180 | +0.62665317219040483909 |
| 750 | -0.00722359755191002290 | +0.61942957463849479538 |
| 751 | +0.00720435467728556492 | +0.62663392931578032474 |
| 752 | -0.00718516943764010551 | +0.61944875987814018714 |
| 753 | +0.00716604162859610112 | +0.62661480150673631861 |
| 754 | -0.00714697104667491069 | +0.61946783046006137496 |
| 755 | +0.00712795748929180399 | +0.62659578794935322232 |
| 756 | -0.00710900075475100809 | +0.61948678719460226194 |
| 757 | +0.00709010064224077901 | +0.62657688783684306610 |
| 758 | -0.00707125695182851937 | +0.61950563088501453546 |
| 759 | +0.00705246948445592027 | +0.62655810036947046093 |
| 760 | -0.00703373804193413790 | +0.61952436232753627099 |
| 761 | +0.00701506242693901005 | +0.62653942475447532701 |
| 762 | -0.00699644244300629339 | +0.61954298231146898157 |
| 763 | +0.00697787789452694509 | +0.62652086020599595528 |
| 764 | -0.00695936858674242945 | +0.61956149161925355706 |
| 765 | +0.00694091432574005761 | +0.62650240594499362334 |
| 766 | -0.00692251491844836191 | +0.61957989102654531521 |
| 767 | +0.00690417017263249885 | +0.62648406119917776635 |
| 768 | -0.00688587989688968158 | +0.61959818130228805355 |
| 769 | +0.00686764390064465054 | +0.62646582520293270235 |
| 770 | -0.00684946199414516489 | +0.61961636320878754614 |
| 771 | +0.00683133398845753304 | +0.62644769719724502366 |
| 772 | -0.00681325969546216735 | +0.61963443750178281988 |
| 773 | +0.00679523892784917108 | +0.62642967642963198749 |
| 774 | -0.00677727149911395727 | +0.61965240493051798598 |
| 775 | +0.00675935722355289204 | +0.62641176215407090577 |
| 776 | -0.00674149591625897160 | +0.61967026623781196193 |
| 777 | +0.00672368739311752627 | +0.62639395363092953417 |
| 778 | -0.00670593147080195216 | +0.61968802216012752737 |
| 779 | +0.00668822796676947409 | +0.62637625012689701620 |
| 780 | -0.00667057669925693285 | +0.61970567342764004692 |
| 781 | +0.00665297748727660711 | +0.62635865091491660372 |
| 782 | -0.00663543015061205700 | +0.61972322076430452764 |
| 783 | +0.00661793450981399290 | +0.62634115527411848845 |
| 784 | -0.00660049038619618233 | +0.61974066488792234342 |
| 785 | +0.00658309760183137509 | +0.62632376248975374367 |
| 786 | -0.00656575597954725879 | +0.61975800651020651610 |
| 787 | +0.00654846534292243768 | +0.62630647185312893210 |
| 788 | -0.00653122551628244289 | +0.61977524633684644151 |
| 789 | +0.00651403632469576589 | +0.62628928266154215709 |
| 790 | -0.00649689759396991640 | +0.61979238506757228233 |
| 791 | +0.00647980915064751486 | +0.62627219421821977985 |
| 792 | -0.00646277082200239893 | +0.61980942339621736270 |
| 793 | +0.00644578243603575844 | +0.62625520583225313676 |
| 794 | -0.00642884382147230690 | +0.61982636201078078475 |
| 795 | +0.00641195480775646077 | +0.62623831681853725506 |
| 796 | -0.00639511522504855514 | +0.61984320159348871293 |
| 797 | +0.00637832490422108201 | +0.62622152649770979060 |
| 798 | -0.00636158367685495021 | +0.61985994282085488116 |
| 799 | +0.00634489137523577221 | +0.62620483419609063169 |
| 800 | -0.00632824783235017441 | +0.61987658636374043386 |
| 801 | +0.00631165288188212988 | +0.62618823924562261318 |
| 802 | -0.00629510635820931894 | +0.61989313288741332286 |
| 803 | +0.00627860809639950793 | +0.62617174098381278569 |
| 804 | -0.00626215793220695569 | +0.61990958305160581698 |
| 805 | +0.00624575570206883923 | +0.62615533875367468397 |
| 806 | -0.00622940124310170703 | +0.61992593751057301077 |
| 807 | +0.00621309439309795149 | +0.62613903190367092844 |
| 808 | -0.00619683499052230569 | +0.61994219691314866871 |
| 809 | +0.00618062287450836263 | +0.62612281978765704782 |
| 810 | -0.00616445788485511618 | +0.61995836190280195765 |
| 811 | +0.00614833986202352294 | +0.62610670176482552396 |
| 812 | -0.00613226864713309078 | +0.61997443311769240282 |
| 813 | +0.00611624408195848238 | +0.62609067719965083576 |
| 814 | -0.00610026600892614630 | +0.61999041119072473283 |
| 815 | +0.00608433427111096728 | +0.62607474546183572439 |
| 816 | -0.00606844871223293468 | +0.62000629674960283655 |
| 817 | +0.00605260917665383959 | +0.62605890592625668134 |
| 818 | -0.00603681550937398403 | +0.62002209041688272073 |
| 819 | +0.00602106755602891883 | +0.62604315797291165691 |
| 820 | -0.00600536516288619621 | +0.62003779281002546764 |
| 821 | +0.00598970817684214580 | +0.62602750098686765767 |
| 822 | -0.00597409644541867322 | +0.62005340454144897144 |
| 823 | +0.00595852981676007164 | +0.62601193435820901012 |
| 824 | -0.00594300813962986112 | +0.62006892621857911951 |
| 825 | +0.00592753126340764443 | +0.62599645748198673445 |
| 826 | -0.00591209903808598020 | +0.62008435844390075165 |
| 827 | +0.00589671131426728039 | +0.62598106975816802944 |
| 828 | -0.00588136794316072506 | +0.62009970181500728703 |
| 829 | +0.00586606877657919537 | +0.62596577059158653444 |
| 830 | -0.00585081366693622745 | +0.62011495692465035123 |
| 831 | +0.00583560246724298352 | +0.62595055939189336858 |
| 832 | -0.00582043503110524565 | +0.62013012436078807088 |
| 833 | +0.00580531121272042250 | +0.62593543557350850293 |
| 834 | -0.00579023086687457684 | +0.62014520470663392349 |
| 835 | +0.00577519384893947652 | +0.62592039855557335404 |
| 836 | -0.00576020001486965590 | +0.62016019854070369988 |
| 837 | +0.00574524922119950144 | +0.62590544776190315535 |
| 838 | -0.00573034132504035044 | +0.62017510643686279970 |
| 839 | +0.00571547618407761051 | +0.62589058262094043883 |
| 840 | -0.00570065365656789984 | +0.62018992896437252771 |
| 841 | +0.00568587360133619626 | +0.62587580256570873871 |
| 842 | -0.00567113587777301476 | +0.62020466668793572396 |
| 843 | +0.00565644034583159382 | +0.62586110703376729436 |
| 844 | -0.00564178686602510079 | +0.62021932016774217189 |
| 845 | +0.00562717529942386059 | +0.62584649546716608626 |
| 846 | -0.00561260550765258891 | +0.62023388995951345137 |
| 847 | +0.00559807735288765738 | +0.62583196731240109401 |
| 848 | -0.00558359069785436309 | +0.62024837661454668147 |
| 849 | +0.00556914540582421989 | +0.62581752202037088662 |
| 850 | -0.00555474134061226948 | +0.62026278067975859631 |
| 851 | +0.00554037836657440049 | +0.62580315904633299073 |
| 852 | -0.00552605634860469166 | +0.62027710269772828866 |
| 853 | +0.00551177515213276733 | +0.62578887784986103604 |
| 854 | -0.00549753464312116753 | +0.62029134320673984249 |
| 855 | +0.00548333468806273990 | +0.62577467789480256677 |
| 856 | -0.00546917515397804099 | +0.62030550274082452145 |
| 857 | +0.00545505590841275506 | +0.62576055864923729732 |
| 858 | -0.00544097681943513187 | +0.62031958182980218020 |
| 859 | +0.00542693775563343490 | +0.62574651958543558994 |
| 860 | -0.00541293858611340863 | +0.62033358099932223162 |
| 861 | +0.00539897918049575889 | +0.62573256017981804256 |
| 862 | -0.00538505940891364967 | +0.62034750077090439202 |
| 863 | +0.00537117914201021372 | +0.62571867991291463262 |
| 864 | -0.00535733825093607889 | +0.62036134166197853812 |
| 865 | +0.00534353660734691004 | +0.62570487826932541520 |
| 866 | -0.00532977408340096215 | +0.62037510418592445305 |
| 867 | +0.00531605055175665177 | +0.62569115473768111002 |
| 868 | -0.00530236588557014398 | +0.62038878885211101721 |
| 869 | +0.00528871995849294636 | +0.62567750881060391066 |
| 870 | -0.00527511264466952717 | +0.62040239616593439997 |
| 871 | +0.00526154381873493969 | +0.62566393998466929283 |
| 872 | -0.00524801335581246385 | +0.62041592662885680642 |
| 873 | +0.00523452113151126434 | +0.62565044776036804475 |
| 874 | -0.00522106702192405570 | +0.62042938073844400293 |
| 875 | +0.00520765090362478988 | +0.62563703164206874163 |
| 876 | -0.00519427265366634913 | +0.62044275898840239858 |
| 877 | +0.00518093214957825784 | +0.62562369113798066422 |
| 878 | -0.00516762926936440749 | +0.62045606186861623765 |
| 879 | +0.00515436389150079020 | +0.62561042576011705041 |
| 880 | -0.00514113589493325404 | +0.62046928986518379290 |
| 881 | +0.00512794515907526258 | +0.62559723502425901298 |
| 882 | -0.00511479156380567276 | +0.62048244346045333675 |
| 883 | +0.00510167498946652656 | +0.62558411844991990147 |
