m,alpha1,alpha2,alpha3
0,352°30',352°31',352°29'
1,351°49',351°52',351°42'
2,350°45',350°44',350°37'
3,350°10',350°05',350°04'
-1,353°22',353°23',353°26'
-2,354°18',354°19',354°16'
-3,354°58',354°58',355°00'
