I,U,P_y,T_H_y,T_y,a_y,P_r,T_H_r,T_r,a_r
0.5,0.8,0.4,1044.0,1047.7978301159042,3.318562584639259e-13,0.4,1755.0,1766.9323221957488,4.103744655780097e-14
1.0,1.6,1.6,1154.0,1158.642080280111,8.878156431674196e-13,1.6,1820.0,1832.835798247878,1.4178351788037556e-13
1.5,2.5,3.75,1104.0,1108.2477944160387,2.4859006339069367e-12,3.75,1887.0,1900.8018301063419,2.8726578489553015e-13
2.0,3.4,6.8,1125.0,1129.4112551098772,4.1792703634075e-12,6.8,1956.0,1970.8336061965003,4.507223314155294e-13
2.5,4.2,10.5,1158.0,1162.6743820275235,5.7458844117954706e-12,10.5,1956.0,1970.8336061965003,6.959683058622145e-13
3.0,5.1,15.299999999999999,1175.0,1179.8129190216341,7.896576393047942e-12,15.299999999999999,2025.0,2040.9028622769633,8.818649703132744e-13
3.5,5.9,20.650000000000002,1191.0,1195.9451625150887,1.0094271699206199e-11,20.650000000000002,2097.0,2114.0586000678773,1.0338367598882444e-12
