m,alpha_mean,phi,a
1,351°48',-0°40',-0.011732
2,350°42',-1°46',-0.015415
3,350°6',-2°22',-0.013733
-1,353°24',0°56',0.016192
-2,354°18',1°50',0.015948
-3,354°59',2°31',0.014604
