m,alpha_mean,phi,a
1,351°33',-0°55',-0.015998
2,350°37',-1°51',-0.016141
3,349°30',-2°58',-0.017219
-1,353°29',1°1',0.017743
-2,354°46',2°18',0.020066
-3,355°43',3°15',0.018865
